doc_id,text_content,source_url
events-0,"Skip to content
Home
Blogs
Media
Events
Menu Toggle
Eventbrite Page
Partnerships and Sponsorships
Leadership
Membership
Main Menu
Home
Blogs
Media
Events
Menu Toggle
Eventbrite Page
Partnerships and Sponsorships
Leadership
Membership
ISC2 Toronto Chapter September 2025 Meeting
ISC2 Toronto Chapter is excited to invite you to our September event!",https://isc2chapter-toronto.ca/events/
events-1,Join us in person (limited seats) or virtually at PwC.,https://isc2chapter-toronto.ca/events/
events-2,"This insightful keynote will explore the evolving landscape of cyber threats, from sophisticated nation-state espionage to the manipulation of democratic processes and the risks that impact us all in our daily lives
📅
Date:
Thursday, September 25, 2025
⏲️
Time:
6:00 PM – 8:00 PM EDT
📍
Location:
PwC Tower (Head Office -Toronto) 18 York Street, Toronto
💲
Cost:
Only $6 for Members/ $15 Non-Members
This event offers 2 CPE credit hours, plus a $9 discount for ISC2 Toronto Chapter members.",https://isc2chapter-toronto.ca/events/
events-3,"👆
Who should attend?",https://isc2chapter-toronto.ca/events/
events-4,"🤼 This event is perfect for cybersecurity professionals, IT specialists, students, and anyone interested in learning about the latest cyber threats and their real-world consequences.",https://isc2chapter-toronto.ca/events/
events-5,"REGISTER HERE FOR THE EVENT
REGISTER HERE TO BECOME A CHAPTER MEMBER
ISC2 Toronto Chapter August 2025 Meeting
ISC2 Toronto Chapter is excited to invite you to our August event!",https://isc2chapter-toronto.ca/events/
events-6,Join us in person for an Interview & Job Readiness Workshop.,https://isc2chapter-toronto.ca/events/
events-7,This is free and open to the public.,https://isc2chapter-toronto.ca/events/
events-8,"📅
Date:
August 28 2025
⏰
Time:
5:30PM – 8:00PM
📍
Venue:
[Details will be emailed]
🍕 Pizza and snacks provided
🎯 What to Expect:
– Networking
– Cybersecurity job trends
– Resume/LinkedIn tips
– Mock interviews
– Live Q&A
REGISTER HERE
ISC2 Toronto Chapter July 2025 Meeting
The Toronto Chapters of IAPP KnowledgeNet and ISC2 are excited to invite you to our July event!",https://isc2chapter-toronto.ca/events/
events-9,Join us in person (limited seats) or virtually at Avanade.,https://isc2chapter-toronto.ca/events/
events-10,"Topic:
From Recovery to Resilience: Modern Strategies for Business Continuity Planning
📅
Dates:
July 31st 2025 EST
⏰
Time:
6:00PM – 8:00PM
📍
Venue:
Avanade Inc., 200 Wellington St W, Toronto, ON M5V 3C7.",https://isc2chapter-toronto.ca/events/
events-11,"Now in its fourth year, our annual collaboration with IAPP Toronto brings a timely conversation on how business continuity planning is evolving with regulations like DORA, NIS2, and Québec Law 25.",https://isc2chapter-toronto.ca/events/
events-12,"Here’s your chance to hear from leaders at Ceiba law, KeyData,
AstraZeneca
,
Avanade
, and
Équité Association
REGISTER HERE
ISC2 Toronto Chapter June 2025 Meeting
ISC2 Toronto Chapter is excited to invite you to our June event!",https://isc2chapter-toronto.ca/events/
events-13,Join us in person or virtually at Marsh Canada Limited.,https://isc2chapter-toronto.ca/events/
events-14,ISC2 Toronto Chapter members should register through their member portal.,https://isc2chapter-toronto.ca/events/
events-15,"📅
Dates:
June 26 2025
⏰
Time:
6:00PM – 8:00PM
📍
Venue:
Marsh Canada Limited, 120 Bremner Blvd Suite 800, Toronto, ON M5J 3A8.",https://isc2chapter-toronto.ca/events/
events-16,"We’ll kick off the evening with a compelling keynote: “
Cyber Insurance and Security Controls”
, exploring how the evolving cyber insurance landscape is influencing security programs.",https://isc2chapter-toronto.ca/events/
events-17,"Learn what insurers are looking for, how to align controls with policy requirements, and what this means for enterprise risk management going forward.",https://isc2chapter-toronto.ca/events/
events-18,"Following the keynote, dive into an engaging panel discussion on
“Cloud and Hybrid Infrastructure Security”.",https://isc2chapter-toronto.ca/events/
events-19,"Industry experts will share real-world experiences, challenges, and strategies for securing modern infrastructure environments, whether fully cloud-native or hybrid.",https://isc2chapter-toronto.ca/events/
events-20,Don’t Miss Out!,https://isc2chapter-toronto.ca/events/
events-21,This event is a great opportunity to engage in critical conversations shaping the future of cybersecurity and to connect with leaders and innovators across the industry.,https://isc2chapter-toronto.ca/events/
events-22,"REGISTER HERE
ISC2 Toronto Chapter May 2025 Meeting
ISC2 Toronto Chapter is excited to invite you to our May event!",https://isc2chapter-toronto.ca/events/
events-23,"📅
Dates:
May 29, 2025
⏰
Time:
6:00PM – 8:00PM
📍
Venue:
240 Jarvis St.",https://isc2chapter-toronto.ca/events/
events-24,"TMU, International Living Learning Centre-“International room”.",https://isc2chapter-toronto.ca/events/
events-25,"We’ll kick off the evening with a compelling keynote:
“Bridging Public and Private Sector Risk: Lessons from Law Enforcement for Enterprise Security”
, offering a unique perspective on cybersecurity leadership, resilience, and risk management.",https://isc2chapter-toronto.ca/events/
events-26,"Following the keynote, dive into an engaging panel discussion on
“Mental Health in Cybersecurity: Addressing Burnout and Building Resilient Teams”
.",https://isc2chapter-toronto.ca/events/
events-27,"Industry professionals will share insights, challenges, and strategies for fostering well-being in high-pressure roles.",https://isc2chapter-toronto.ca/events/
events-28,Don’t Miss Out!,https://isc2chapter-toronto.ca/events/
events-29,This event is a great opportunity to engage in critical conversations shaping the future of cybersecurity and to connect with leaders and innovators across the industry.,https://isc2chapter-toronto.ca/events/
events-30,"Join Us
Ready to dive deeper?",https://isc2chapter-toronto.ca/events/
events-31,ISC2 Toronto Chapter members should register through their member portal.,https://isc2chapter-toronto.ca/events/
events-32,"REGISTER HERE
2025 International Women's Month Event: ISC2 Toronto Chapter & Women in CyberSecurity Ontario Affiliate
ISC2 Toronto Chapter in collaboration with WiCyS Ontario, Canada Affiliate is excited to invite you to our march event!",https://isc2chapter-toronto.ca/events/
events-33,"This month, we’re celebrating International Women’s Day, dedicating our gathering to supporting gender diversity and empowerment in cybersecurity.",https://isc2chapter-toronto.ca/events/
events-34,"Join us
in-person or virtually
.",https://isc2chapter-toronto.ca/events/
events-35,ISC2 Toronto Chapter members should register through their member portal for a 100% discount.,https://isc2chapter-toronto.ca/events/
events-36,"📅
Dates:
March 27, 2025
⏰
Time:
6:00PM – 8:00PM
📍
Venue:
240 Jarvis St.",https://isc2chapter-toronto.ca/events/
events-37,"TMU, International Living Learning Centre-“International room”.",https://isc2chapter-toronto.ca/events/
events-38,"Sponsored by
Google Cloud Security
REGISTER HERE
Join our CTF Walkthrough
Image credit - teammatrix
Join Blue Team Jedi for a hands-on walkthrough of Capture The Flag (CTF) challenges.",https://isc2chapter-toronto.ca/events/
events-39,"This session will cover:
What a typical CTF challenge looks like
How to approach and investigate a challenge
Preparation:
Attendees must register on HackTheBox (https://www.hackthebox.com/) before the session, as you’ll need your account to access the environment.",https://isc2chapter-toronto.ca/events/
events-40,Registration takes only a few seconds.,https://isc2chapter-toronto.ca/events/
events-41,"Click here for the Discord Access
ISC2 Toronto Chapter: November 2024 Monthly Meeting
The ISC2 Toronto Chapter’s November Chapter Meeting, on November 28, 2024, from 6 to 8 PM EST, features a robust discussion on
how attackers use well-known third-party services to execute effective phishing attacks, leveraging trust within organizations.",https://isc2chapter-toronto.ca/events/
events-42,It will also propose security-by-design considerations when choosing third-party services to strengthen defenses against such tactics.,https://isc2chapter-toronto.ca/events/
events-43,"The second keynote will show how mastering soft skills bridges the gap between technical and business professionals, enhances teamwork, and boosts your overall impact.",https://isc2chapter-toronto.ca/events/
events-44,"Practical techniques for developing these competencies, supported by real-world examples, will be shared to help you elevate your effectiveness.",https://isc2chapter-toronto.ca/events/
events-45,"register now
REGISTER HERE
2024 Canadian ISC2 Chapters' Conference
The 2nd Canadian ISC2 Chapters’ Conference – Guardians of the Digital North: Building Cyber Resilience Across Canada
Join us on October 3rd, 2024, from 11 AM to 5:30 PM EST for an inspiring and collaborative event uniting ISC2 members, thought leaders, and cybersecurity professionals.",https://isc2chapter-toronto.ca/events/
events-46,"This conference embodies our mission to “Connect, Educate, Inspire, and Secure,” driving forward knowledge-sharing and innovation in the cybersecurity space.",https://isc2chapter-toronto.ca/events/
events-47,"Experience this hybrid, multi-city event in person at one of the following locations:
Toronto: 100 Adelaide St W, Toronto
Calgary: 215 2nd Av SW, Calgary
Vancouver: 1133 Melville St, Vancouver
register now
SECTOR Conference: October 22-24, 2024
SecTor 2024
is back for its 18th year at the Metro Toronto Convention Centre (MTCC) in downtown Toronto.",https://isc2chapter-toronto.ca/events/
events-48,"This premier event provides a unique opportunity for cybersecurity professionals, managers, and executives to connect, network, and learn from industry leaders.",https://isc2chapter-toronto.ca/events/
events-49,"To register, visit the
SecTor 2024 Registration
page.",https://isc2chapter-toronto.ca/events/
events-50,Special discount codes are available for our members.,https://isc2chapter-toronto.ca/events/
events-51,"If you haven’t received yours, please contact us at
[email protected]
.",https://isc2chapter-toronto.ca/events/
events-52,"Conference Highlights:
Keynotes and sessions from top cybersecurity experts
Networking opportunities with industry peers
Hands-on workshops for all experience levels
register now
ISC2 Toronto Chapter: March 2024 Monthly Meeting
The ISC2 Toronto Chapter’s March Chapter Meeting, on March 28, 2024, from 6 to 8 PM EST, features a robust discussion on diversifying cybersecurity.",https://isc2chapter-toronto.ca/events/
events-53,"Keynote speaker Adriana Gliga, Partner at MNP, will be joined by industry leaders to explore career opportunities through a diverse lens and discuss the pivotal role of workforce diversity in strengthening cybersecurity.",https://isc2chapter-toronto.ca/events/
events-54,This session aims to provide insightful strategies for fostering an inclusive environment that empowers a varied range of professionals to excel in cybersecurity roles.,https://isc2chapter-toronto.ca/events/
events-55,Don’t miss the chance to engage with experts and peers committed to enhancing diversity and innovation in the field.,https://isc2chapter-toronto.ca/events/
events-56,Reserve your spot for an evening of compelling dialogue and networking.,https://isc2chapter-toronto.ca/events/
events-57,"register now
2024 IWD Panel Discussion - Invest in women: Accelerate progress
Join us for the ISC2 Toronto Chapter’s 2024 International Women’s Day Panel Discussion on March 8, from 12 to 1 PM EST, themed “Invest in Women: Accelerate Progress.” This empowering session brings together a distinguished panel of female leaders in cybersecurity, including Faiza Aziz, Director of the ISC2 Toronto Chapter, Negar Farjadnia, Security Practice Lead at Avanade, Nour Mousa, Information Security Consultant at CIBC, and Kavia Parmar, Director, IAM, at CIBC.",https://isc2chapter-toronto.ca/events/
events-58,This event is an opportunity to not only gain knowledge but also to celebrate the strides women are making in tech.,https://isc2chapter-toronto.ca/events/
events-59,Don’t miss out on this inspiring and enlightening event.,https://isc2chapter-toronto.ca/events/
events-60,Reserve your seat today for an hour that could transform your perspective and ignite your actions towards progress.,https://isc2chapter-toronto.ca/events/
events-61,"February 2024 Chapter Meeting
The ISC2 Toronto Chapter is pleased to announce its upcoming February Chapter Meeting, to be held on February 22, 2024, from 6 to 8 PM EST.",https://isc2chapter-toronto.ca/events/
events-62,"This event celebrates Black Excellence in Cybersecurity, featuring two leading voices in the industry.",https://isc2chapter-toronto.ca/events/
events-63,Don’t miss this unique opportunity to gain knowledge from the best in the field and network with peers dedicated to advancing cybersecurity.,https://isc2chapter-toronto.ca/events/
